pathway	104B_1w_ML	104B_3w_ML	104B_4w_ML	104E_1w_ML	104E_3w_ML	104E_4w_ML	104R_1w_ML	104R_3w_ML	104R_4w_ML	104S_0w_ML	105B_1w_ML	105B_3w_ML	105B_4w_ML	105E_1w_ML	105E_3w_ML	105E_4w_ML	105R_1w_ML	105R_3w_ML	105R_4w_ML	105S_0w_ML	108B_1w_ML	108B_3w_ML	108B_4w_ML	108E_1w_ML	108E_3w_ML	108E_4w_ML	108R_1w_ML	108R_3w_ML	108R_4w_ML	108S_0w_ML	109B_1w_ML	109B_3w_ML	109B_4w_ML	109E_1w_ML	109E_3w_ML	109E_4w_ML	109R_1w_ML	109R_3w_ML	109R_4w_ML	109S_0w_ML	201B_1w_ML	201B_3w_ML	201B_4w_ML	201E_1w_ML	201E_3w_ML	201E_4w_ML	201R_1w_ML	201R_3w_ML	201R_4w_ML	201S_0w_ML	202B_1w_ML	202B_3w_ML	202B_4w_ML	202E_1w_ML	202E_3w_ML	202E_4w_ML	202R_1w_ML	202R_3w_ML	202R_4w_ML	202S_0w_ML	206B_1w_ML	206B_3w_ML	206B_4w_ML	206E_1w_ML	206E_3w_ML	206E_4w_ML	206R_1w_ML	206R_3w_ML	206R_4w_ML	206S_0w_ML	207B_1w_ML	207B_3w_ML	207B_4w_ML	207E_1w_ML	207E_3w_ML	207E_4w_ML	207R_1w_ML	207R_3w_ML	207R_4w_ML	207S_0w_ML	209B_1w_ML	209B_3w_ML	209B_4w_ML	209E_1w_ML	209E_3w_ML	209E_4w_ML	209R_1w_ML	209R_3w_ML	209R_4w_ML	209S_0w_ML	301B_1w_ML	301B_3w_ML	301B_4w_ML	301E_1w_ML	301E_3w_ML	301E_4w_ML	301R_1w_ML	301R_3w_ML	301R_4w_ML	301S_0w_ML	302B_1w_ML	302B_3w_ML	302B_4w_ML	302E_1w_ML	302E_3w_ML	302E_4w_ML	302R_1w_ML	302R_3w_ML	302R_4w_ML	302S_0w_ML	306B_1w_ML	306B_3w_ML	306B_4w_ML	306E_1w_ML	306E_3w_ML	306E_4w_ML	306R_3w_ML	306R_4w_ML	306S_0w_ML	309B_1w_ML	309B_3w_ML	309B_4w_ML	309E_1w_ML	309E_3w_ML	309E_4w_ML	309R_1w_ML	309R_3w_ML	309R_4w_ML	309S_0w_ML	310B_1w_ML	310B_3w_ML	310B_4w_ML	310E_1w_ML	310E_3w_ML	310E_4w_ML	310R_1w_ML	310R_3w_ML	310R_4w_ML	310S_0w_ML	411B_1w_ML	411B_3w_ML	411B_4w_ML	411E_1w_ML	411E_3w_ML	411E_4w_ML	411R_1w_ML	411R_3w_ML	411R_4w_ML	411S_0w_ML	Seed_CM_4
CATECHOL-ORTHO-CLEAVAGE-PWY	374.0407	470.1589	444.2375	2283.0233	1425.6451	1247.152	2768.8664	802.0821	2203.3252	534.6912	281.0817	383.9703	461.6741	2416.4467	1166.99	901.3894	2771.0154	968.9491	1336.8881	575.657	313.378	443.9048	546.0406	1297.8337	1780.7991	877.1414	2047.3158	540.6676	809.7654	465.4753	210.1367	438.9671	408.2841	1824.0854	1342.064	1219.9643	1752.7224	766.6698	1787.6594	1088.2013	312.7964	660.6535	525.2844	1964.8487	1974.6	934.5586	3394.2502	798.4571	1180.6585	733.5955	249.4535	601.557	446.6259	2026.9268	1357.6384	777.1784	2597.0254	939.7402	1047.1263	513.5392	258.7295	295.0357	406.2792	2348.3327	1450.8093	1031.4607	2857.825	1040.4054	1508.0236	413.2583	202.0957	410.6466	440.3219	2098.889	1502.702	954.5204	2487.8547	757.4084	925.1523	575.166	276.2372	582.4157	481.0803	2122.1585	1330.6031	1014.567	2965.8314	1011.1759	1320.5901	1137.2775	231.8004	458.0702	504.1479	1820.6949	1442.7793	3613.1584	2646.0691	784.5831	3837.7409	800.8282	328.9703	545.6869	475.6437	2117.8837	1454.7103	888.5357	2284.1149	1311.2541	1329.6002	450.5284	243.2762	302.5559	491.7288	1741.5029	1543.3129	912.8844	954.2476	1275.7457	383.1445	249.871	435.3108	436.6223	1868.6243	1284.3314	1087.2976	2114.9584	802.8769	1649.3806	524.4445	231.0848	554.1512	340.3711	1747.7011	1428.9558	1125.2451	1802.8106	868.6145	1098.4385	402.6814	196.6695	371.8171	380.5052	2630.2755	1447.3775	990.8948	2536.3768	1417.62	1180.2845	331.6555	458.5053
CENTBENZCOA-PWY	10.9856	4.5843	2.0364	1.5	0.5	0.5	3.0	7.75	7.3733	3.2897	8.0462	10.0	10.5296	0.0	0.0	0.0	5.8105	6.6116	10.022	6.0	14.7129	5.8537	10.2295	5.2057	0.25	1.1429	5.7436	8.25	11.6226	7.3412	9.3292	5.9414	6.8571	0.8889	0.25	1.2308	6.0	10.0	14.1163	4.1379	11.0345	8.2759	5.5951	4.5843	1.8462	1.5584	9.1429	12.6412	17.0	5.4676	14.6341	6.5	10.6859	3.3588	0.5	3.2897	7.814	6.1849	4.8	11.3267	9.1513	8.25	11.0118	6.0377	0.32	1.5584	3.5	11.4123	18.3852	12.5714	10.9714	6.4336	3.1807	1.5094	0.0	1.75	5.5	13.6216	6.4336	3.8095	9.1228	4.9655	10.0398	1.7778	0.75	0.32	2.5	9.194	10.4899	6.6116	12.804	7.0	3.6706	1.8065	0.5	0.0	7.5	13.8117	5.9661	9.3867	8.1455	5.0683	11.6726	4.2532	2.7429	0.0	2.75	5.75	2.25	13.9585	13.2283	9.5614	10.9292	4.5902	0.0	0.5	8.1455	17.6057	10.1366	10.0403	3.4413	4.9231	1.25	0.32	1.28	4.25	2.7586	9.4382	7.949	7.6125	3.1807	6.6555	1.2308	0.0	1.5094	2.25	6.0377	5.1459	3.6706	10.835	4.6377	4.4094	3.6923	2.4615	1.2308	1.5584	12.6316	7.6125	6.25	0.0
CENTFERM-PWY	443.8549	306.402	390.8538	1110.4669	652.5487	190.1896	211.0265	226.9555	272.5081	553.5209	429.0768	268.8186	399.749	860.8444	368.0942	245.4409	232.4668	242.2541	281.1263	336.0252	362.7593	278.423	478.1324	1751.6147	520.0671	313.9518	354.3698	214.3508	255.9759	786.2467	291.1975	268.318	399.9746	1290.4857	173.6229	497.7475	267.6538	214.3886	345.4273	305.4209	480.1873	370.9652	397.3445	1471.7738	181.2556	536.555	281.1759	259.607	435.9252	493.6628	368.6323	400.7994	464.9059	1193.6999	241.2333	247.2077	273.387	214.1467	238.0329	547.1825	411.5356	304.1251	355.7805	1538.1981	304.0663	510.7644	313.8774	252.8289	295.221	362.6869	278.3387	431.5037	316.5528	776.301	212.1295	278.3636	240.5283	322.3753	295.9606	266.4423	315.4997	205.302	303.095	1070.2946	195.4051	184.1611	214.9984	150.0729	197.6831	320.4697	353.5537	320.3785	348.8031	1625.3599	427.56	436.2128	346.0101	329.796	290.0759	578.859	531.5838	438.4954	413.6296	590.6821	460.4489	465.8392	232.4461	347.4955	361.5885	361.9464	411.3321	252.8615	323.496	1318.4184	292.035	559.1668	233.7638	359.4291	359.6912	219.0135	182.689	284.4914	1158.4035	267.537	384.619	218.3399	551.8332	222.548	261.3308	229.1494	178.0518	203.0623	1095.5478	224.9928	255.4452	248.3829	224.0289	137.823	298.7428	240.8623	192.141	225.3369	1211.7716	215.1471	306.6688	355.1493	314.2859	190.968	268.9978	237.2859
CHLOROPHYLL-SYN	131.4308	303.3696	630.5364	51.9469	47.164	32.6342	33.6179	65.5689	54.9347	100.5218	82.7838	141.6839	365.0323	53.6292	63.8309	35.3805	42.6838	77.905	57.1824	91.4642	72.5705	219.401	327.6097	100.2446	113.3627	22.8805	37.3615	64.0422	41.4026	127.9743	24.3006	487.7448	385.3274	56.5812	48.1875	64.2931	45.3727	108.588	55.5926	164.7598	71.8231	552.8844	610.1078	119.6023	34.8946	57.2875	44.7573	111.0222	45.9077	196.2177	94.4538	263.9642	370.2321	735.95	103.7617	48.7632	121.0653	99.9082	72.4987	166.7037	124.1452	138.8267	440.0931	117.5985	48.0689	57.1467	42.556	66.4409	54.241	106.5502	56.3914	324.8768	426.3919	143.2132	60.2078	22.1125	74.4516	88.0699	53.0299	149.19	72.8504	79.6544	463.2726	337.1959	78.2807	28.5634	46.8853	78.4483	16.8983	151.6422	70.1122	155.8095	438.8806	193.6523	51.218	34.3377	71.9705	69.4087	35.3995	204.0735	80.0434	403.5596	361.1218	386.0462	114.3064	72.5044	175.1194	146.5684	65.4487	111.2297	60.4828	260.7194	275.1628	168.134	126.9811	29.12	75.958	62.0654	143.3604	53.5429	215.8329	265.7009	288.4177	126.2208	51.6612	124.2557	55.6802	86.0428	114.1958	112.7628	298.1689	198.4282	113.7337	73.4521	84.6111	152.1498	62.4822	73.6669	130.0596	230.3115	256.5093	656.6517	100.7199	53.4708	29.2956	52.7108	96.8651	73.0575	178.0875	136.7555
COA-PWY	12103.553	12292.3457	12123.8103	8999.6633	10929.7039	11712.1312	9815.7478	12242.8593	12007.9281	12273.5609	12268.493	12325.6099	12241.149	9975.5605	10950.8857	11606.3718	9202.6336	12210.1313	12075.8042	12227.7422	12218.278	12474.1386	12202.9602	8896.6466	9989.1291	11468.8142	8727.9855	12348.8921	12071.7333	12265.123	12293.1663	12239.1789	12249.861	9586.2291	10546.9592	11295.7321	10738.0906	12031.4869	11963.5717	12410.9714	12156.0088	12213.4257	12069.3474	9522.1623	10700.5598	11652.013	10015.6374	12129.3733	11873.0406	12138.3528	12072.546	11984.6799	11899.8244	9267.9939	10873.728	11468.0681	9112.6597	12224.316	11969.6332	11896.3959	12041.0566	12348.9713	12111.1013	9080.7925	10726.2392	11528.1143	9346.9101	12219.2889	12095.3016	12242.5046	12181.3344	12339.7203	12206.6163	8167.0052	10469.8959	11192.9937	9177.0835	12129.8312	11971.3954	12154.0267	12216.3461	12418.3409	12070.9712	9056.5622	11190.7621	11693.4565	9577.8675	12236.547	12300.3706	12214.8385	12230.8462	12321.5259	12158.688	8520.7748	11152.0332	9851.1569	9692.0831	12286.9486	9182.1765	12118.4047	12035.7886	12021.8997	12057.4578	8440.2628	10487.2197	11545.3467	9214.8863	12008.0634	11897.8769	12074.1382	12155.7182	12207.694	12183.2068	8416.7969	10628.7181	11400.5535	12066.5353	11820.1097	12279.9592	12181.471	12300.6428	11968.1058	9405.579	10916.8886	10809.0184	9780.6798	12193.5405	11795.1077	12236.9118	12341.2553	12340.3004	12437.6166	9067.449	10727.654	11029.0706	9509.4213	12104.4079	11936.2745	12361.4378	12319.7003	12323.8266	12118.54	6717.2461	10238.3739	11329.5304	8390.7717	11871.6581	11794.6327	12390.4103	12169.4341
COBALSYN-PWY	3249.1064	3023.8672	3312.593	6764.8676	9589.1009	10520.2076	7452.8017	4331.3546	5773.7394	3503.4813	3121.9917	3150.4427	3177.0062	8603.7038	9994.7805	9963.5126	6777.0654	4815.6382	5038.8809	3226.4101	3122.8787	3148.1702	3273.6333	6018.5576	8101.6101	10192.1273	5132.8272	4498.9841	5039.0787	3271.1202	2939.626	3000.9559	3293.6936	6897.739	9414.0227	9521.2156	7148.8514	4624.5342	5219.1387	4105.9148	3205.4694	3444.7237	3978.4542	6680.5841	9604.3717	9910.1826	6852.1103	4611.3289	5151.4996	3523.8956	2962.5604	3261.7059	3245.7289	6205.2962	10023.2172	10168.4218	5493.5831	4329.9058	4864.0842	4529.1665	3124.1342	2888.8174	3147.0932	6465.3564	9468.5335	9848.6201	6079.0441	4616.8305	5086.9828	3195.7805	2758.1285	3104.9223	3133.4602	5944.6079	9351.5542	9838.04	5952.3071	4780.7851	4766.9267	3300.2965	2897.0653	3170.6048	3137.9434	6552.7937	10149.0914	10599.1937	7622.2259	4757.2636	8560.4723	3725.2762	3045.7484	3202.4922	3161.2959	6200.6938	10169.7102	9064.2501	6316.7164	4785.1452	5992.196	4104.5389	3155.6532	3383.5877	3032.2764	5709.019	9001.657	10087.4681	6347.3198	4935.9307	4606.5031	3152.7223	2776.1847	2776.0752	3059.4517	5842.9314	9258.2693	9922.4207	4937.4781	4955.1771	3104.4979	2805.2993	2894.0533	3120.5701	6178.969	9725.2443	8707.6099	5809.9908	4458.6964	4765.6125	2967.2298	2799.3265	2977.4058	2827.1286	5984.788	9698.8221	9136.1855	5494.987	4385.1374	4619.0769	3179.4631	2862.0119	2901.664	2954.1828	5317.8696	9059.24	9898.0785	5656.5616	4540.1208	4601.8208	2983.054	4737.319
CODH-PWY	1363.7265	1277.5005	1160.7354	559.6544	258.1074	140.6107	394.8622	1093.5482	1092.3296	1343.2263	1509.3532	1313.3954	1276.1346	159.9822	240.8355	215.2609	420.9967	1047.7317	1096.6849	1239.9748	1706.992	1327.7904	1341.5723	785.629	434.4991	193.7015	738.1564	1347.0836	1312.4971	1319.0107	1600.4542	1222.6377	1215.0784	801.8516	262.5788	194.7153	786.8162	1131.7208	1245.6213	1247.8684	1435.6911	1088.8581	1172.9038	827.6678	169.0987	357.807	572.7091	1221.8745	1351.0559	1152.5131	1393.9569	1026.5388	1066.2934	508.9033	75.5374	188.0276	471.315	813.5755	958.1693	1125.7935	1416.1749	1187.3054	1063.2138	791.5269	242.6739	180.5679	552.3178	1040.8914	1199.4501	1277.4158	1397.7919	1143.322	1261.0222	523.2641	151.1389	245.0418	616.6406	1097.4181	1279.7692	1189.6271	1434.1515	1276.474	1353.1489	516.9169	171.7559	133.0064	383.5693	1010.1826	722.7126	1272.1215	1381.0242	1399.8183	1077.8179	701.175	234.8493	121.3915	668.4469	1264.4524	824.3558	1259.8207	1190.1316	1002.793	1073.9845	513.635	183.0656	153.5048	386.3793	845.5273	1002.66	1123.9688	1316.3994	1303.0126	1167.15	771.7194	269.4412	218.7513	973.3059	1170.4935	1295.4454	1405.1199	1097.1597	1529.7566	803.8551	187.1518	183.007	690.46	957.0655	1016.8606	1191.3524	1174.594	1107.4345	1176.9258	724.2846	130.9889	149.5959	633.6878	814.1484	966.3143	1247.1829	1101.6015	1003.4131	1183.2905	277.0575	170.3085	235.4846	337.4009	891.1971	1104.9533	1166.0806	1477.0634
COLANSYN-PWY	10611.1328	10625.8568	10448.5918	7553.876	14246.9624	15461.4892	7790.1991	10071.9876	9451.3972	10771.4152	10602.3174	10554.9737	10609.6159	8295.4778	14723.0999	15022.5001	8012.8552	10139.475	9913.1255	10465.8714	10459.6223	10402.6666	10426.0833	6325.8151	11913.3751	15195.4127	7848.007	10146.5788	9932.7134	10704.3706	10764.6016	10659.7571	10457.5752	8042.4943	14047.6394	14367.9721	10594.6799	9979.3142	9962.4715	11382.9223	10605.5041	10372.245	10743.2075	7381.2296	14271.9789	15102.966	9046.0995	10006.4357	9399.1661	10327.1217	10794.905	10504.7114	10603.2918	7486.0804	14801.5277	15295.909	8472.1454	10200.0173	9858.9477	10958.1148	10285.2889	10670.4396	10374.0722	7133.5712	14090.8379	14802.1519	8443.5731	10205.0081	9810.3972	10498.3467	10636.8957	10467.4743	10748.925	6778.0029	13750.7601	14718.355	8479.7703	9847.2172	9858.9227	10179.9828	10689.7506	10692.5394	10686.787	7629.7565	14952.8978	15461.1404	9493.6599	10272.2825	12531.1092	10669.8917	10614.8812	10617.5903	10529.1739	6556.0464	14981.9762	11871.4745	9048.4083	10136.5075	6615.9537	10587.3613	10725.925	10715.3561	10613.4429	7699.4206	13146.2527	15205.1334	9054.8062	10013.1861	8830.6527	10474.1481	10708.4104	10697.8664	10651.3353	6751.5099	13798.0637	15027.67	9809.2191	9484.8713	10572.024	10778.3959	10723.0788	10768.6882	7080.4922	14460.838	13046.1005	9214.7496	10269.8501	10043.8444	10753.2576	10890.886	10665.6597	10687.5825	6945.8028	14362.5854	13833.4359	9078.2514	9986.8923	9972.4669	10821.1039	10741.9778	10691.284	10456.8655	5597.6131	13612.1816	14904.8976	7961.2749	9642.9033	9612.0003	10718.1596	8781.2549
COMPLETE-ARO-PWY	13168.5638	13176.4803	13060.4835	10963.4364	13843.8865	15018.4364	12280.4856	13028.0537	13624.8887	13439.0646	13335.6894	13195.9902	13128.5735	12865.9134	14185.1517	14619.6468	11996.7546	13141.7124	13121.2207	13267.5005	13236.5401	13141.2314	13296.7189	10167.1851	12482.6303	14757.2528	10570.7731	13182.7274	13103.2783	13232.6593	13344.8304	13097.5879	13061.7532	11075.2503	13617.6146	14166.0842	13442.0464	12982.9485	13421.2275	13994.6023	13224.9025	13200.8103	13345.323	11225.6875	13795.4874	14828.0696	12674.2249	13056.9394	13101.3733	13259.5127	13216.4724	12943.7454	13040.9617	10937.2249	14095.2384	14736.8466	11357.9411	12854.3294	12906.3642	13680.0906	13061.3817	13146.632	12872.5645	10510.9889	13621.8401	14490.3728	11733.481	13042.46	13236.3822	12987.898	13185.643	12953.2998	13059.9149	9557.4802	13316.7625	14253.0285	11654.3951	12883.7041	12986.2797	13165.5524	13242.4434	13268.6822	13072.4934	10980.3904	14431.8019	15133.7776	12844.1534	13293.4044	15489.3998	13728.2499	13224.2065	13205.2836	13078.6497	9750.2285	14423.6625	12653.681	12135.4841	13005.9731	11359.3116	13353.9398	13258.8351	13091.047	13012.3279	9923.106	13151.2429	14806.7658	11805.9628	12820.5243	13335.1044	13071.4893	13104.1357	13046.5013	13124.2238	9800.4361	13414.0664	14421.0184	12768.6355	12824.5456	13029.7599	13245.6903	13077.4403	12844.1751	10701.6392	13936.6798	13327.0311	12214.0915	12901.0159	13075.6251	13087.9177	13144.8944	12988.6287	12959.4087	10274.0328	13715.2893	13557.186	11784.1996	12696.9648	12916.0151	13187.2242	13205.8936	12807.1618	12835.5331	8112.6602	12976.8593	14402.3437	10850.3	12551.1121	12681.7739	13137.9762	13030.106
CRNFORCAT-PWY	112.7083	195.2439	241.6823	1109.6927	311.1871	281.668	1975.351	194.2995	1061.1528	616.8533	99.1271	178.488	230.7024	493.9353	155.4386	266.3819	834.7363	284.7097	451.074	456.8718	257.2087	252.1166	147.0886	661.2517	226.9983	234.5277	870.4241	148.0623	266.1438	356.686	53.5786	175.4858	181.4896	510.0136	205.6418	354.2687	992.1217	360.0269	463.7442	383.298	182.1877	313.3261	331.0774	656.7209	228.6736	198.4972	1920.3516	202.5067	381.4771	826.2819	67.8921	462.0207	195.8065	498.5902	280.5549	241.3392	387.9458	202.1759	218.0118	472.8771	73.7802	96.7701	182.5221	1064.3122	341.378	277.0395	1074.4661	434.8066	291.6886	338.6359	76.1811	117.5242	209.1984	357.0717	296.1489	214.5091	570.7301	212.6331	364.2051	302.8227	113.1881	234.63	233.334	754.3831	262.7628	419.2193	1062.9826	557.1134	1005.4615	1435.6784	83.4838	199.1796	381.3571	270.2886	213.1321	3193.6266	946.2455	210.9505	2858.7289	591.2469	67.3958	233.3538	197.4918	269.0846	447.8469	247.2129	232.6844	274.9243	251.3708	310.5887	109.4129	121.033	139.5141	271.6902	360.3274	245.2	275.3128	326.2076	210.3568	57.5454	187.6871	361.1033	627.1486	228.5228	581.6715	512.9194	259.8651	470.3177	350.6574	40.2781	88.0509	149.5317	431.6646	324.5257	410.7819	345.8982	234.9472	385.3246	316.8973	54.1549	110.779	144.7812	542.8631	321.2086	441.4042	305.8814	514.4534	439.7575	245.1396	73.0249
DAPLYSINESYN-PWY	9764.883	10065.7742	9781.9918	9870.3673	13738.9115	14595.0277	10495.5267	11070.7099	11551.0209	9994.481	9550.3623	10039.5554	9915.4307	11234.5449	13754.0236	14200.2117	10094.299	11176.4279	11052.5011	10340.3695	9238.7145	10129.1493	9577.6754	9478.3026	11946.8869	14180.1547	8564.8905	10596.4044	10900.7275	9931.8302	9596.9795	9984.1967	9927.8563	10430.1831	13311.1645	13733.4732	10882.4093	10771.6249	11072.5771	10513.312	9324.9822	10506.797	10216.5861	10193.2825	13595.7809	14150.0942	10709.9357	10710.5572	10750.3595	10148.9161	9950.9333	10377.6677	10214.2461	10257.1161	13753.4441	14262.1217	9489.0033	11327.8203	11148.4986	10340.9035	9352.0507	10049.1031	10080.3634	9798.9345	13566.7575	14181.7082	9891.814	10974.2303	11089.9219	10024.4806	9665.0505	10407.2862	9994.7606	8911.4201	13278.5901	13927.3196	9547.5427	11100.4198	10732.2662	10257.9417	9933.971	10391.4001	9972.2622	10413.894	14192.7257	15057.8306	11006.7116	11286.0813	12959.5043	10579.4862	9646.0993	9888.6113	10000.6278	9273.1819	14216.6429	12334.7781	10102.6607	10898.4251	9522.6487	10206.237	9989.132	10341.8199	10373.0079	9207.0368	13052.5522	14301.1643	9823.7211	11290.6982	11580.3298	10374.612	9949.8329	10122.7507	10267.0188	9254.2279	13327.6938	14266.0685	11011.5454	10915.7152	10298.3491	9856.6489	10344.9589	10027.8327	10254.5067	13901.5964	13098.3797	9920.8565	11064.9787	11164.1304	10262.2881	10058.819	10611.9174	10260.3137	9841.256	13614.8729	13473.1916	9668.3852	11244.1372	11127.0114	10348.0072	9710.3068	10637.6917	10033.3487	7935.3933	12707.2515	14101.7359	9119.9153	11036.0558	10715.8409	10369.6756	10843.8659
DENITRIFICATION-PWY	682.2542	759.9637	820.2575	769.0205	447.7573	553.9281	948.1653	923.9865	1114.0595	670.1897	678.5058	702.707	785.523	1158.93	353.231	476.383	836.4542	996.443	1089.5154	720.1452	662.9927	772.7497	792.2413	379.8438	527.222	484.8491	720.5136	872.0438	1029.3191	703.9425	655.7383	746.0611	711.8916	504.9163	338.6673	692.6539	796.3882	914.3404	1201.6974	722.7216	634.5431	766.3775	799.9305	726.7319	437.6878	564.8847	1845.9002	944.2413	1087.6316	672.5303	625.8182	701.9108	738.6965	751.8574	469.9353	433.2146	1621.5763	965.2605	954.5065	534.4527	573.9898	646.635	776.3492	818.1655	484.9582	690.9836	1558.7014	944.625	1021.2375	700.7192	612.4261	736.2711	769.8511	476.685	429.7118	382.881	1019.2515	847.612	955.5197	646.1399	651.3828	793.8111	724.8495	768.5339	480.8349	564.1726	1194.6856	916.991	735.7177	698.7794	709.478	749.9448	755.4837	487.0538	388.1445	481.8022	1325.6484	931.7243	864.0931	784.5571	596.0541	770.3731	689.768	886.6489	587.2804	484.9597	1355.3861	989.2346	750.9852	628.9747	630.4869	698.3597	645.335	427.187	495.1252	435.448	913.8093	1119.2893	632.199	587.9777	754.6008	693.3608	666.2483	454.3084	779.6993	1138.5779	942.0197	1120.1381	724.2058	598.8159	704.7701	682.8532	631.9899	401.365	727.2947	1148.1938	901.4603	1114.0475	718.831	543.4684	733.2824	740.9252	1196.6392	423.0188	549.072	1449.7763	1081.3469	1033.6782	669.8167	448.3923
